"","V237","V10","V253","V22","V11","V46","V68"
"1077","52","Not very happy","Third step","7","Good","7","7"
"1079","31","Very happy","Fourth step","8","Very good","7","2"
"1080","36","Quite happy","Fifth step","7","Very good","8","6"
"1081","43","Quite happy","Fifth step","8","Very good","8","5"
"1082","59","Very happy","Fourth step","8","Good","7","8"
"1083","61","Quite happy","second step","5","Fair","6","8"
"1084","20","Quite happy","Sixth step","9","Very good","9","8"
"1085","61","Quite happy","Fifth step","8","Good","7","8"
"1087","39","Quite happy","second step","8","Good","8","7"
"1088","67","Quite happy","Third step","Satisfied","Very good","9","8"
"1089","50","Quite happy","Fourth step","9","Good","A great deal","8"
"1090","21","Very happy","Lower step","9","Very good","8","2"
"1091","33","Very happy","Nineth step","9","Very good","A great deal","2"
"1092","59","Very happy","Fourth step","Satisfied","Good","8","Satisfied"
"1093","64","Quite happy","Third step","7","Good","8","5"
"1094","24","Quite happy","Third step","7","Very good","6","7"
"1095","49","Quite happy","Tenth step","8","Good","7","9"
"1096","45","Quite happy","Tenth step","8","Very good","8","8"
"1097","46","Quite happy","Lower step","3","Good","5","2"
"1098","46","Quite happy","Sixth step","8","Very good","7","5"
"1099","30","Quite happy","Sixth step","5","Good","9","8"
"1100","22","Very happy","Lower step","9","Good","8","7"
"1101","42","Quite happy","Sixth step","9","Good","8","8"
"1102","40","Quite happy","Fourth step","7","Very good","6","7"
"1103","32","Very happy","Fifth step","Satisfied","Very good","A great deal","3"
"1104","18","Very happy","Seventh step","6","Fair","9","7"
"1105","66","Quite happy","Third step","9","Very good","7","8"
"1106","30","Quite happy","Fourth step","8","Good","8","6"
"1107","17","Quite happy","Fourth step","8","Fair","8","5"
"1108","51","Quite happy","second step","7","Fair","4","6"
"1109","44","Quite happy","Third step","8","Very good","8","8"
"1110","33","Quite happy","Eigth step","8","Very good","8","7"
"1111","24","Very happy","Fifth step","9","Good","8","3"
"1112","27","Quite happy","Sixth step","7","Good","8","6"
"1113","69","Quite happy","second step","8","Good","7","7"
"1114","42","Quite happy","Eigth step","9","Very good","3","8"
"1116","42","Quite happy","Sixth step","8","Fair","9","Satisfied"
"1118","40","Very happy","Fifth step","9","Fair","8","5"
"1119","33","Quite happy","Nineth step","9","Good","8","7"
"1120","42","Quite happy","Third step","8","Very good","9","3"
"1121","26","Very happy","Third step","8","Fair","8","4"
"1122","56","Not very happy","Eigth step","6","Very good","9","8"
"1123","26","Very happy","Third step","9","Very good","9","8"
"1124","20","Very happy","Third step","9","Very good","A great deal","7"
"1125","29","Very happy","Seventh step","8","Fair","9","8"
"1126","53","Quite happy","Fourth step","6","Good","8","6"
"1127","35","Quite happy","Tenth step","8","Good","8","8"
"1128","21","Very happy","Lower step","9","Good","9","7"
"1129","63","Very happy","Sixth step","Satisfied","Very good","A great deal","Satisfied"
"1130","34","Quite happy","Fourth step","9","Good","8","7"
"1131","21","Quite happy","Lower step","8","Very good","6","6"
"1132","23","Quite happy","Lower step","9","Very good","A great deal","3"
"1133","28","Quite happy","second step","8","Good","8","7"
"1134","41","Quite happy","Fourth step","7","Good","7","4"
"1135","60","Quite happy","Third step","8","Good","8","8"
"1136","33","Quite happy","Third step","9","Good","9","9"
"1137","68","Very happy","Fourth step","9","Very good","9","9"
"1139","56","Quite happy","Fourth step","8","Very good","7","9"
"1140","56","Quite happy","Seventh step","8","Very good","7","8"
"1141","33","Quite happy","Fifth step","9","Very good","9","6"
"1142","27","Quite happy","second step","8","Very good","8","6"
"1144","55","Quite happy","Fifth step","Satisfied","Fair","A great deal","Satisfied"
"1145","34","Quite happy","second step","7","Good","8","6"
"1146","36","Quite happy","Fifth step","7","Good","7","7"
"1147","50","Quite happy","Tenth step","9","Very good","A great deal","Satisfied"
"1148","36","Quite happy","Fourth step","8","Good","8","8"
"1149","22","Quite happy","Third step","8","Good","7","5"
"1150","38","Quite happy","Fourth step","8","Very good","8","8"
"1152","55","Quite happy","Third step","8","Good","6","9"
"1154","30","Quite happy","Third step","9","Very good","8","8"
"1155","23","Quite happy","second step","9","Very good","9","7"
"1156","53","Quite happy","Fourth step","8","Fair","7","8"
"1158","20","Very happy","Fourth step","9","Very good","6","8"
"1159","33","Quite happy","Lower step","8","Very good","A great deal","6"
"1161","41","Not very happy","Lower step","5","Fair","7","4"
"1162","22","Quite happy","Lower step","6","Good","4","5"
"1163","20","Quite happy","second step","9","Very good","A great deal","8"
"1164","23","Quite happy","Fourth step","6","Very good","6","3"
"1165","23","Very happy","Third step","9","Very good","A great deal","9"
"1166","76","Not very happy","Fourth step","6","Good","4","7"
"1167","21","Quite happy","second step","9","Very good","8","9"
"1168","44","Not very happy","Third step","6","Fair","7","8"
"1169","73","Very happy","Lower step","Satisfied","Very good","7","9"
"1170","20","Quite happy","Lower step","5","Very good","A great deal","5"
"1171","52","Very happy","second step","8","Good","A great deal","9"
"1172","45","Quite happy","Lower step","7","Good","8","4"
"1173","51","Quite happy","Lower step","8","Good","7","9"
"1174","52","Very happy","Tenth step","Satisfied","Very good","9","Satisfied"
"1175","25","Quite happy","second step","8","Good","6","8"
"1176","40","Quite happy","Nineth step","7","Good","6","9"
"1178","33","Very happy","Fifth step","Satisfied","Very good","9","8"
"1179","22","Very happy","Fourth step","9","Very good","9","9"
"1180","46","Quite happy","Lower step","8","Fair","8","7"
"1181","65","Quite happy","Third step","7","Fair","8","8"
"1182","21","Quite happy","Lower step","8","Very good","A great deal","7"
"1183","26","Quite happy","Third step","8","Good","7","3"
"1184","43","Quite happy","Eigth step","8","Very good","7","8"
"1185","24","Not very happy","Lower step","6","Fair","9","7"
"1186","25","Quite happy","Sixth step","9","Good","8","8"
"1187","20","Quite happy","Fourth step","9","Very good","8","5"
"1188","27","Very happy","Sixth step","9","Very good","A great deal","8"
"1189","49","Quite happy","Fourth step","5","Fair","3","3"
"1190","42","Quite happy","Fifth step","9","Good","8","7"
"1191","54","Not at all happy","Lower step","6","Fair","8","Dissatisfied"
"1193","19","Quite happy","Lower step","8","Good","9","5"
"1194","16","Very happy","Tenth step","Satisfied","Very good","A great deal","Satisfied"
"1195","20","Very happy","Third step","9","Very good","9","7"
"1198","41","Very happy","Fifth step","9","Good","8","7"
"1199","49","Quite happy","Fourth step","8","Good","8","8"
"1200","38","Quite happy","Nineth step","7","Fair","7","7"
"1201","20","Quite happy","Lower step","7","Good","8","6"
"1202","20","Quite happy","Lower step","9","Very good","8","7"
"1203","24","Very happy","Lower step","9","Very good","7","7"
"1204","56","Quite happy","Third step","8","Fair","8","7"
"1205","39","Quite happy","Lower step","7","Very good","7","5"
"1206","29","Quite happy","Fifth step","7","Good","7","4"
"1207","30","Very happy","second step","9","Good","8","7"
"1208","23","Quite happy","Third step","5","Good","5","4"
"1209","38","Very happy","Fifth step","8","Very good","7","6"
"1210","24","Quite happy","Fourth step","Satisfied","Very good","9","8"
"1211","70","Not very happy","second step","8","Fair","7","8"
"1212","72","Not very happy","second step","7","Poor","7","8"
"1213","19","Quite happy","Lower step","9","Very good","9","7"
"1214","46","Not very happy","Lower step","6","Fair","8","2"
"1215","31","Very happy","Sixth step","9","Good","8","4"
"1216","30","Quite happy","Fifth step","8","Good","9","8"
"1217","47","Very happy","Tenth step","8","Very good","8","9"
"1218","47","Quite happy","Third step","6","Very poor","2","4"
"1219","24","Quite happy","second step","9","Very good","9","5"
"1220","37","Quite happy","Sixth step","9","Good","9","6"
"1221","49","Quite happy","Sixth step","8","Poor","7","5"
"1222","35","Quite happy","Fifth step","7","Good","7","7"
"1224","23","Quite happy","Fourth step","9","Very good","A great deal","7"
"1225","42","Quite happy","Third step","8","Good","8","6"
"1226","55","Quite happy","Sixth step","3","Fair","3","5"
"1227","47","Quite happy","Fourth step","7","Good","3","Dissatisfied"
"1228","39","Very happy","Fifth step","Satisfied","Very good","9","8"
"1229","31","Quite happy","Lower step","7","Good","A great deal","8"
"1230","20","Quite happy","Lower step","8","Very good","8","7"
"1231","30","Quite happy","Fifth step","8","Good","8","7"
"1232","26","Quite happy","Fourth step","9","Very good","7","7"
"1233","61","Quite happy","Third step","8","Good","8","7"
"1234","45","Quite happy","Fourth step","8","Fair","8","7"
"1235","23","Quite happy","Third step","8","Fair","9","7"
"1236","37","Very happy","Third step","5","Good","8","4"
"1237","40","Quite happy","Eigth step","8","Good","8","8"
"1238","39","Quite happy","Third step","9","Fair","7","8"
"1239","21","Quite happy","Lower step","7","Very good","7","3"
"1240","31","Quite happy","Tenth step","9","Very good","8","9"
"1241","20","Quite happy","Tenth step","8","Very good","8","7"
"1242","30","Quite happy","Fourth step","8","Good","8","8"
"1243","40","Quite happy","Fourth step","8","Fair","3","5"
"1244","29","Very happy","second step","8","Very good","8","2"
"1245","18","Very happy","second step","9","Very good","8","6"
"1246","51","Very happy","Sixth step","8","Good","9","8"
"1247","38","Quite happy","second step","5","Good","5","4"
"1248","32","Quite happy","Lower step","8","Good","8","6"
"1249","35","Very happy","Nineth step","9","Very good","9","5"
"1250","24","Quite happy","Lower step","9","Good","A great deal","7"
"1251","25","Quite happy","Lower step","8","Good","8","7"
"1252","21","Quite happy","Lower step","7","Good","8","7"
"1253","28","Quite happy","second step","8","Good","8","8"
"1254","25","Quite happy","second step","9","Good","8","7"
"1255","55","Quite happy","second step","5","Fair","5","4"
"1256","25","Quite happy","Third step","9","Very good","8","6"
"1258","63","Quite happy","second step","8","Good","8","8"
"1261","19","Quite happy","second step","8","Very good","8","7"
"1262","77","Quite happy","Lower step","8","Good","9","7"
"1263","68","Very happy","Lower step","Satisfied","Good","A great deal","Satisfied"
"1264","59","Quite happy","Fourth step","8","Fair","8","8"
"1265","39","Not very happy","Fifth step","7","Good","7","5"
"1266","42","Quite happy","second step","8","Good","9","8"
"1267","36","Quite happy","Fifth step","8","Good","8","7"
"1268","66","Not very happy","Lower step","7","Poor","A great deal","7"
"1269","47","Quite happy","Third step","8","Fair","8","7"
"1270","40","Very happy","Third step","9","Very good","8","8"
"1271","68","Very happy","Sixth step","9","Fair","A great deal","Satisfied"
"1272","24","Quite happy","Fifth step","8","Very good","8","8"
"1273","68","Quite happy","Third step","8","Fair","8","8"
"1274","40","Not very happy","Fourth step","4","Fair","6","Dissatisfied"
"1275","62","Quite happy","Fifth step","Satisfied","Fair","9","9"
"1276","49","Quite happy","Sixth step","7","Fair","8","6"
"1277","36","Quite happy","Sixth step","7","Fair","8","7"
"1278","79","Quite happy","Lower step","6","Poor","7","8"
"1279","52","Quite happy","Sixth step","7","Good","6","8"
"1280","36","Quite happy","Third step","8","Good","8","8"
"1281","49","Quite happy","Fourth step","8","Good","8","7"
"1282","31","Very happy","Fifth step","Satisfied","Good","A great deal","Satisfied"
"1283","55","Quite happy","Fourth step","9","Good","8","Satisfied"
"1284","51","Very happy","second step","9","Very good","9","5"
"1285","42","Quite happy","Fourth step","8","Good","7","7"
"1287","22","Very happy","second step","9","Very good","7","8"
"1288","70","Quite happy","second step","9","Fair","8","9"
"1289","20","Very happy","Third step","9","Very good","8","4"
"1291","29","Very happy","Third step","8","Good","9","8"
"1292","31","Quite happy","Eigth step","6","Fair","6","5"
"1293","64","Quite happy","Third step","9","Good","7","9"
"1294","62","Quite happy","Eigth step","8","Fair","7","8"
"1295","45","Quite happy","Lower step","8","Good","9","9"
"1296","31","Not at all happy","Lower step","7","Good","5","4"
"1297","27","Very happy","second step","8","Good","8","8"
"1298","63","Quite happy","Nineth step","6","Good","7","3"
"1299","46","Quite happy","Lower step","9","Very good","4","7"
"1300","64","Not very happy","second step","6","Poor","A great deal","5"
"1301","50","Quite happy","Fifth step","8","Good","9","7"
"1302","53","Quite happy","second step","5","Poor","5","5"
"1303","54","Quite happy","Sixth step","6","Fair","6","8"
"1304","38","Not at all happy","Lower step","2","Poor","None at all","Dissatisfied"
"1307","69","Very happy","Fifth step","8","Fair","A great deal","Satisfied"
"1308","39","Quite happy","Third step","7","Good","8","3"
"1309","33","Quite happy","Fifth step","7","Good","7","7"
"1310","49","Quite happy","Fifth step","8","Poor","7","9"
"1311","36","Quite happy","Lower step","8","Poor","9","Dissatisfied"
"1312","42","Quite happy","Sixth step","8","Good","8","8"
"1314","35","Very happy","Sixth step","9","Good","8","8"
"1315","48","Not very happy","Lower step","5","Good","7","5"
"1317","73","Quite happy","Lower step","8","Good","8","9"
"1318","82","Very happy","Lower step","8","Good","6","8"
"1319","34","Quite happy","Fourth step","8","Good","8","8"
"1320","67","Quite happy","Lower step","9","Good","7","8"
"1321","21","Very happy","second step","8","Very good","8","3"
"1322","33","Very happy","Lower step","8","Very good","A great deal","7"
"1323","76","Quite happy","Lower step","8","Good","8","8"
"1325","53","Quite happy","Fourth step","8","Good","9","8"
"1327","37","Very happy","Third step","8","Good","8","8"
"1328","63","Not very happy","Third step","5","Fair","7","5"
"1329","62","Quite happy","Lower step","3","Very poor","5","3"
"1330","79","Quite happy","Third step","7","Fair","6","7"
"1331","48","Quite happy","Fourth step","7","Poor","7","6"
"1332","20","Quite happy","second step","8","Good","9","6"
"1333","33","Quite happy","Lower step","8","Very good","8","2"
"1334","64","Quite happy","second step","8","Good","9","8"
"1335","43","Quite happy","Sixth step","Satisfied","Very good","9","Dissatisfied"
"1336","70","Quite happy","Lower step","6","Poor","7","8"
"1337","58","Quite happy","Eigth step","8","Good","9","8"
"1338","22","Quite happy","Lower step","8","Good","7","7"
"1339","34","Very happy","Lower step","8","Very good","8","8"
"1340","43","Quite happy","second step","8","Good","8","7"
"1341","70","Quite happy","Third step","Satisfied","Fair","8","9"
"1342","50","Quite happy","Fourth step","5","Very good","3","5"
"1343","36","Quite happy","second step","7","Very good","8","8"
"1345","33","Quite happy","Sixth step","9","Good","A great deal","6"
"1346","63","Quite happy","Sixth step","8","Very good","7","8"
"1347","77","Quite happy","Third step","9","Good","9","9"
"1348","34","Quite happy","Third step","8","Very good","9","Satisfied"
"1349","20","Quite happy","Third step","Satisfied","Very good","8","4"
"1350","61","Quite happy","Fourth step","8","Fair","7","8"
"1351","47","Quite happy","Tenth step","8","Very good","8","9"
"1352","35","Very happy","Fourth step","8","Good","8","6"
"1353","45","Quite happy","Seventh step","8","Good","7","8"
"1354","34","Very happy","Third step","8","Good","7","6"
"1355","50","Very happy","Sixth step","9","Good","8","8"
"1356","57","Quite happy","Eigth step","8","Fair","8","8"
"1357","49","Quite happy","Tenth step","8","Fair","6","8"
"1358","34","Very happy","Eigth step","9","Very good","9","7"
"1359","30","Quite happy","Third step","8","Very good","A great deal","3"
"1360","24","Very happy","Fourth step","9","Good","8","7"
"1361","60","Quite happy","Fourth step","6","Very poor","8","7"
"1362","66","Quite happy","Third step","8","Fair","6","8"
"1363","25","Very happy","second step","Satisfied","Very good","9","9"
"1364","46","Quite happy","Fifth step","8","Good","7","8"
"1365","33","Quite happy","Third step","8","Good","8","4"
"1366","57","Very happy","Fourth step","8","Good","8","8"
"1367","25","Quite happy","Fourth step","8","Good","8","8"
"1368","47","Quite happy","Lower step","7","Good","2","4"
"1370","23","Quite happy","Lower step","9","Very good","9","Dissatisfied"
"1371","66","Quite happy","second step","8","Good","8","Satisfied"
"1372","22","Very happy","Third step","9","Very good","9","8"
"1373","39","Quite happy","Fifth step","8","Very good","7","7"
"1374","50","Quite happy","Sixth step","9","Good","7","8"
"1375","55","Quite happy","Nineth step","9","Good","8","8"
"1376","36","Very happy","Nineth step","Satisfied","Very good","8","Satisfied"
"1377","24","Very happy","Fifth step","9","Very good","8","7"
"1378","25","Very happy","Sixth step","9","Very good","A great deal","7"
"1379","19","Very happy","Tenth step","9","Very good","A great deal","8"
"1380","34","Quite happy","Fifth step","7","Fair","8","5"
"1381","37","Quite happy","Fifth step","5","Good","7","4"
"1382","52","Quite happy","second step","9","Very good","7","7"
"1383","25","Very happy","Seventh step","9","Very good","8","3"
"1384","19","Very happy","Lower step","9","Good","9","6"
"1385","29","Quite happy","Third step","7","Fair","9","8"
"1386","44","Not very happy","Lower step","3","Fair","7","Dissatisfied"
"1387","36","Quite happy","Seventh step","9","Fair","8","8"
"1388","71","Quite happy","Third step","8","Fair","8","Satisfied"
"1390","60","Quite happy","second step","8","Fair","6","9"
"1392","72","Very happy","Lower step","7","Fair","8","Satisfied"
"1393","36","Quite happy","Fifth step","9","Good","9","8"
"1394","74","Quite happy","Lower step","9","Good","8","7"
"1395","49","Quite happy","Seventh step","7","Fair","7","4"
"1396","30","Very happy","Fourth step","9","Very good","8","8"
"1397","67","Quite happy","second step","2","Very good","9","3"
"1398","46","Very happy","Tenth step","9","Good","8","Satisfied"
"1399","63","Not very happy","second step","8","Fair","4","6"
"1400","76","Quite happy","Lower step","8","Fair","A great deal","9"
"1402","20","Very happy","Third step","9","Very good","9","8"
"1403","34","Quite happy","second step","7","Fair","6","5"
"1404","26","Very happy","Fifth step","7","Good","8","8"
"1407","37","Quite happy","Fifth step","9","Good","8","9"
"1408","50","Not at all happy","Third step","Satisfied","Very poor","8","Satisfied"
"1409","66","Quite happy","Fourth step","8","Good","9","8"
"1411","30","Very happy","Eigth step","Satisfied","Very good","A great deal","9"
"1412","43","Quite happy","Fourth step","8","Very good","8","6"
"1413","46","Not very happy","Fourth step","6","Fair","4","3"
"1414","66","Quite happy","second step","6","Good","7","5"
"1415","27","Very happy","Fourth step","9","Very good","8","Satisfied"
"1417","59","Quite happy","Third step","8","Fair","7","8"
"1418","64","Quite happy","Lower step","Satisfied","Good","A great deal","Satisfied"
"1419","65","Very happy","Fourth step","Satisfied","Very good","8","8"
"1420","59","Quite happy","Sixth step","9","Good","8","9"
"1421","63","Quite happy","Third step","8","Fair","8","8"
"1422","72","Quite happy","Fifth step","9","Good","6","6"
"1423","51","Quite happy","Nineth step","8","Good","8","9"
"1424","71","Very happy","Fourth step","9","Fair","8","9"
"1425","36","Quite happy","second step","8","Good","8","6"
"1426","45","Quite happy","Nineth step","8","Very good","7","8"
"1427","43","Quite happy","Lower step","7","Good","7","7"
"1428","26","Not very happy","Third step","7","Good","9","8"
"1429","37","Quite happy","Fourth step","8","Good","9","8"
"1430","46","Quite happy","Lower step","8","Fair","8","Dissatisfied"
"1431","62","Quite happy","Seventh step","8","Good","5","8"
"1432","32","Quite happy","Lower step","8","Good","A great deal","6"
"1433","69","Quite happy","Lower step","7","Good","9","8"
"1434","70","Quite happy","Lower step","8","Fair","8","8"
"1435","64","Quite happy","Seventh step","Satisfied","Good","8","8"
"1436","41","Quite happy","Sixth step","8","Good","8","4"
"1437","29","Quite happy","Fifth step","8","Good","A great deal","7"
"1438","49","Very happy","Sixth step","8","Fair","9","8"
"1439","23","Very happy","Fourth step","9","Very good","8","9"
"1440","40","Very happy","Tenth step","9","Very good","9","8"
"1441","38","Quite happy","Third step","8","Good","9","3"
"1443","54","Quite happy","second step","8","Fair","5","6"
"1444","48","Quite happy","Fourth step","9","Good","9","7"
"1446","69","Quite happy","Lower step","Satisfied","Fair","A great deal","Satisfied"
"1447","52","Not very happy","second step","3","Poor","4","2"
"1448","31","Quite happy","Fourth step","8","Very good","9","8"
"1449","49","Not very happy","Third step","5","Fair","8","Satisfied"
"1450","18","Quite happy","Seventh step","8","Very good","6","7"
"1451","61","Quite happy","Sixth step","8","Fair","8","8"
"1452","52","Quite happy","second step","9","Good","9","Dissatisfied"
"1453","26","Quite happy","Sixth step","9","Very good","A great deal","8"
"1454","33","Quite happy","Fifth step","8","Good","9","8"
"1455","40","Quite happy","second step","6","Good","8","8"
"1456","61","Quite happy","Seventh step","9","Good","7","7"
"1457","37","Quite happy","Lower step","9","Good","9","8"
"1459","59","Quite happy","Third step","9","Good","9","Satisfied"
"1461","48","Very happy","Sixth step","Satisfied","Fair","8","Satisfied"
"1462","76","Not at all happy","second step","8","Poor","3","Satisfied"
"1463","73","Quite happy","Lower step","8","Fair","8","8"
"1464","70","Quite happy","Lower step","8","Fair","8","8"
"1466","21","Very happy","second step","8","Very good","9","8"
"1467","37","Quite happy","Fourth step","Satisfied","Good","A great deal","Satisfied"
"1468","81","Quite happy","second step","Satisfied","Fair","9","9"
"1470","63","Very happy","Lower step","Satisfied","Very good","A great deal","Satisfied"
"1471","48","Quite happy","Seventh step","8","Fair","8","7"
"1472","40","Quite happy","Third step","9","Good","9","Satisfied"
"1473","85","Quite happy","Lower step","Satisfied","Very poor","6","Satisfied"
"1474","79","Quite happy","Lower step","8","Fair","9","8"
"1475","21","Very happy","Lower step","Satisfied","Good","8","6"
"1476","46","Quite happy","Lower step","8","Good","7","3"
"1477","73","Very happy","Third step","Satisfied","Poor","A great deal","Satisfied"
"1478","26","Very happy","Lower step","8","Good","9","7"
"1479","69","Very happy","Third step","Satisfied","Very good","8","Satisfied"
"1480","73","Quite happy","Lower step","8","Fair","8","8"
"1481","63","Quite happy","Lower step","Satisfied","Fair","8","Satisfied"
"1482","71","Very happy","Seventh step","Satisfied","Fair","A great deal","Satisfied"
"1484","31","Very happy","Seventh step","8","Very good","8","9"
"1485","32","Quite happy","second step","8","Good","8","4"
"1486","37","Very happy","Fifth step","Satisfied","Fair","A great deal","8"
"1487","62","Quite happy","Third step","6","Fair","8","7"
"1488","59","Very happy","second step","9","Good","8","8"
"1489","51","Quite happy","Nineth step","9","Fair","3","4"
"1490","40","Very happy","Third step","8","Fair","9","3"
"1491","67","Quite happy","Lower step","8","Fair","8","8"
"1494","55","Very happy","Third step","8","Very good","8","7"
"1495","23","Very happy","Lower step","9","Fair","A great deal","8"
"1496","55","Quite happy","Fourth step","8","Good","7","8"
"1497","22","Quite happy","Third step","9","Very good","8","7"
"1498","49","Very happy","Fifth step","9","Fair","7","7"
"1499","48","Quite happy","Fifth step","Satisfied","Poor","A great deal","Satisfied"
"1500","28","Quite happy","Lower step","6","Good","5","7"
"1501","37","Not very happy","Lower step","2","Poor","8","2"
"1502","63","Quite happy","Fifth step","5","Poor","6","7"
"1505","67","Quite happy","second step","Satisfied","Poor","7","7"
"1506","79","Quite happy","Third step","9","Fair","A great deal","8"
"1507","63","Very happy","Third step","8","Good","3","3"
"1508","67","Quite happy","Lower step","7","Good","5","5"
"1509","81","Quite happy","Third step","8","Poor","7","6"
"1510","33","Very happy","Fifth step","Satisfied","Good","8","Satisfied"
"1511","68","Quite happy","Lower step","7","Fair","6","8"
"1512","54","Quite happy","Lower step","7","Fair","7","6"
"1513","85","Very happy","Lower step","9","Good","5","8"
"1514","38","Very happy","Sixth step","Satisfied","Good","4","8"
"1515","65","Quite happy","Third step","8","Fair","A great deal","6"
"1516","55","Quite happy","Third step","8","Fair","8","8"
"1518","78","Quite happy","Lower step","8","Fair","6","7"
"1519","66","Very happy","Lower step","Satisfied","Good","A great deal","Satisfied"
"1520","65","Very happy","Lower step","Satisfied","Good","5","Satisfied"
"1521","67","Very happy","second step","Satisfied","Good","8","Satisfied"
"1522","43","Very happy","Eigth step","9","Good","9","Satisfied"
"1523","37","Quite happy","Sixth step","8","Very good","A great deal","9"
"1524","40","Quite happy","Fifth step","8","Good","8","7"
"1525","29","Very happy","Fourth step","Satisfied","Good","A great deal","8"
"1526","42","Quite happy","Fourth step","9","Very good","7","7"
"1527","60","Very happy","Lower step","8","Good","8","7"
"1528","59","Quite happy","second step","8","Fair","9","8"
"1529","54","Very happy","Fourth step","8","Good","7","7"
"1530","70","Very happy","Lower step","9","Very good","8","9"
"1531","39","Quite happy","Fourth step","9","Good","8","7"
"1532","48","Quite happy","Fourth step","Satisfied","Good","8","Satisfied"
"1533","29","Quite happy","Sixth step","Satisfied","Very good","8","Satisfied"
"1534","64","Very happy","Seventh step","Satisfied","Good","6","Satisfied"
"1535","63","Quite happy","Third step","9","Good","8","Satisfied"
"1536","36","Quite happy","Sixth step","9","Very good","9","8"
"1537","25","Quite happy","Fourth step","7","Good","5","8"
"1538","25","Quite happy","Lower step","Satisfied","Very good","4","9"
"1539","73","Quite happy","Third step","8","Very good","8","9"
"1540","57","Quite happy","Fifth step","9","Very good","6","8"
"1541","66","Quite happy","Fourth step","8","Fair","A great deal","7"
"1542","70","Quite happy","Lower step","Satisfied","Fair","4","Satisfied"
"1543","24","Quite happy","Lower step","8","Very good","5","7"
"1544","22","Quite happy","Lower step","8","Good","8","5"
"1545","60","Very happy","Fourth step","9","Very good","8","6"
"1546","35","Very happy","Fourth step","9","Very good","8","7"
"1547","63","Quite happy","second step","8","Very good","7","6"
"1548","38","Quite happy","Third step","8","Fair","9","7"
"1549","21","Very happy","second step","9","Good","8","2"
"1550","40","Not very happy","Third step","6","Good","A great deal","6"
"1551","31","Quite happy","Nineth step","Satisfied","Good","A great deal","Satisfied"
"1552","55","Quite happy","Fourth step","Satisfied","Poor","7","Satisfied"
"1553","56","Quite happy","second step","9","Fair","9","9"
"1554","38","Quite happy","Sixth step","7","Good","8","6"
"1555","41","Quite happy","Sixth step","8","Good","9","8"
"1556","80","Quite happy","Fourth step","3","Poor","A great deal","Satisfied"
"1557","30","Quite happy","Third step","9","Very good","9","6"
"1558","41","Very happy","second step","9","Very good","3","Dissatisfied"
"1559","43","Quite happy","Third step","7","Fair","6","2"
"1560","40","Quite happy","Fourth step","8","Fair","8","4"
"1561","41","Not very happy","Seventh step","3","Fair","A great deal","5"
"1563","76","Quite happy","Fourth step","8","Fair","7","Satisfied"
"1564","50","Quite happy","Fourth step","9","Very good","8","7"
"1565","49","Quite happy","Sixth step","9","Fair","7","8"
"1566","47","Not very happy","Lower step","8","Fair","9","2"
"1567","30","Quite happy","Tenth step","9","Good","8","9"
"1568","26","Very happy","second step","8","Good","9","7"
"1569","22","Very happy","Fifth step","8","Very good","9","8"
"1570","47","Quite happy","Fifth step","6","Good","9","8"
"1571","30","Quite happy","Lower step","Satisfied","Very good","A great deal","8"
"1572","46","Quite happy","Fourth step","8","Poor","A great deal","7"
"1573","54","Quite happy","second step","8","Very good","9","5"
"1574","34","Quite happy","Fifth step","9","Good","9","8"
"1575","37","Quite happy","second step","7","Very good","7","4"
"2614","75","Quite happy","Lower step","4","Poor","8","6"
"2615","74","Quite happy","second step","7","Fair","6","6"
"2619","61","Quite happy","Third step","8","Fair","9","8"
"2620","50","Quite happy","Nineth step","6","Fair","6","8"
"2621","58","Very happy","Seventh step","Satisfied","Fair","7","9"
"2622","19","Quite happy","second step","9","Fair","7","7"
"2623","75","Very happy","Eigth step","8","Good","7","9"
"2624","56","Very happy","Fifth step","Satisfied","Good","5","Satisfied"
"2625","19","Not very happy","Lower step","7","Fair","5","3"
"2626","73","Very happy","Sixth step","9","Good","8","8"
"2627","44","Not very happy","Third step","3","Fair","4","Dissatisfied"
"2629","60","Quite happy","Lower step","8","Fair","7","5"
"2630","41","Very happy","Eigth step","8","Good","6","6"
"2631","51","Quite happy","Tenth step","7","Fair","5","6"
"2632","19","Quite happy","Lower step","9","Very good","5","7"
"2633","23","Quite happy","Eigth step","2","Good","4","5"
"2634","67","Not very happy","second step","5","Poor","6","7"
"2635","75","Quite happy","Third step","8","Poor","9","8"
"2636","20","Quite happy","Lower step","8","Good","6","8"
"2637","34","Quite happy","Sixth step","8","Very good","8","8"
"2638","20","Quite happy","second step","3","Fair","5","Dissatisfied"
"2639","37","Very happy","Seventh step","9","Good","6","7"
"2640","44","Quite happy","second step","8","Good","7","7"
"2641","64","Not very happy","Lower step","5","Fair","5","8"
"2642","57","Quite happy","Tenth step","8","Good","7","9"
"2643","68","Quite happy","Lower step","8","Poor","9","7"
"2644","56","Quite happy","Seventh step","9","Good","5","8"
"2645","22","Very happy","Fourth step","8","Fair","5","5"
"2647","48","Quite happy","Fourth step","5","Fair","4","4"
"2648","27","Very happy","second step","8","Very good","9","6"
"2649","49","Very happy","second step","8","Fair","A great deal","8"
"2650","24","Very happy","Sixth step","9","Very good","9","9"
"2651","41","Quite happy","Lower step","8","Good","A great deal","7"
"2652","24","Quite happy","second step","7","Very good","A great deal","5"
"2653","19","Not very happy","Lower step","5","Fair","6","4"
